2013-02-28 06:48:18 status half-installed insserv:i386 1.14.0-5
2013-02-28 06:48:18 status unpacked insserv:i386 1.14.0-5
2013-02-28 06:48:18 status unpacked insserv:i386 1.14.0-5
2013-02-28 06:48:18 install liblocale-gettext-perl:i386 <none> 1.05-7+b1
2013-02-28 06:48:18 status half-installed liblocale-gettext-perl:i386 1.05-7+b1
2013-02-28 06:48:18 status unpacked liblocale-gettext-perl:i386 1.05-7+b1
2013-02-28 06:48:18 status unpacked liblocale-gettext-perl:i386 1.05-7+b1
2013-02-28 06:48:19 install libselinux1:i386 <none> 2.1.9-5
2013-02-28 06:48:19 status half-installed libselinux1:i386 2.1.9-5
2013-02-28 06:48:19 status unpacked libselinux1:i386 2.1.9-5
2013-02-28 06:48:19 status unpacked libselinux1:i386 2.1.9-5
2013-02-28 06:48:19 install libsemanage-common:all <none> 2.1.6-6
2013-02-28 06:48:19 status half-installed libsemanage-common:all 2.1.6-6
2013-02-28 06:48:19 status unpacked libsemanage-common:all 2.1.6-6
2013-02-28 06:48:19 status unpacked libsemanage-common:all 2.1.6-6
2013-02-28 06:48:19 install libsemanage1:i386 <none> 2.1.6-6
2013-02-28 06:48:19 status half-installed libsemanage1:i386 2.1.6-6
2013-02-28 06:48:19 status unpacked libsemanage1:i386 2.1.6-6
2013-02-28 06:48:19 status unpacked libsemanage1:i386 2.1.6-6
2013-02-28 06:48:19 install libsepol1:i386 <none> 2.1.4-3
2013-02-28 06:48:19 status half-installed libsepol1:i386 2.1.4-3
2013-02-28 06:48:19 status unpacked libsepol1:i386 2.1.4-3
2013-02-28 06:48:19 status unpacked libsepol1:i386 2.1.4-3
2013-02-28 06:48:19 install libtext-charwidth-perl:i386 <none> 0.04-7+b1
2013-02-28 06:48:19 status half-installed libtext-charwidth-perl:i386 0.04-7+b1
2013-02-28 06:48:19 status unpacked libtext-charwidth-perl:i386 0.04-7+b1
2013-02-28 06:48:19 status unpacked libtext-charwidth-perl:i386 0.04-7+b1
2013-02-28 06:48:19 install libtext-iconv-perl:i386 <none> 1.7-5
2013-02-28 06:48:19 status half-installed libtext-iconv-perl:i386 1.7-5
2013-02-28 06:48:19 status unpacked libtext-iconv-perl:i386 1.7-5
2013-02-28 06:48:19 status unpacked libtext-iconv-perl:i386 1.7-5
2013-02-28 06:48:19 install libtext-wrapi18n-perl:all <none> 0.06-7
2013-02-28 06:48:19 status half-installed libtext-wrapi18n-perl:all 0.06-7
2013-02-28 06:48:19 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-02-28 06:48:19 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-02-28 06:48:19 install lsb-base:all <none> 4.1+Debian9
2013-02-28 06:48:19 status half-installed lsb-base:all 4.1+Debian9
2013-02-28 06:48:19 status unpacked lsb-base:all 4.1+Debian9
2013-02-28 06:48:19 status unpacked lsb-base:all 4.1+Debian9
2013-02-28 06:48:19 upgrade mawk:i386 1.3.3-17 1.3.3-17
2013-02-28 06:48:19 status half-configured mawk:i386 1.3.3-17
2013-02-28 06:48:19 status unpacked mawk:i386 1.3.3-17
2013-02-28 06:48:19 status half-installed mawk:i386 1.3.3-17
2013-02-28 06:48:19 status half-installed mawk:i386 1.3.3-17
2013-02-28 06:48:19 status unpacked mawk:i386 1.3.3-17
2013-02-28 06:48:19 status unpacked mawk:i386 1.3.3-17
2013-02-28 06:48:19 install libncurses5:i386 <none> 5.9-10
2013-02-28 06:48:19 status half-installed libncurses5:i386 5.9-10
2013-02-28 06:48:19 status unpacked libncurses5:i386 5.9-10
2013-02-28 06:48:19 status unpacked libncurses5:i386 5.9-10
2013-02-28 06:48:19 install libtinfo5:i386 <none> 5.9-10
2013-02-28 06:48:19 status half-installed libtinfo5:i386 5.9-10
2013-02-28 06:48:19 status unpacked libtinfo5:i386 5.9-10
2013-02-28 06:48:19 status unpacked libtinfo5:i386 5.9-10
2013-02-28 06:48:19 install ncurses-base:all <none> 5.9-10
2013-02-28 06:48:19 status half-installed ncurses-base:all 5.9-10
2013-02-28 06:48:19 status unpacked ncurses-base:all 5.9-10
2013-02-28 06:48:19 status unpacked ncurses-base:all 5.9-10
2013-02-28 06:48:19 install ncurses-bin:i386 <none> 5.9-10
2013-02-28 06:48:19 status half-installed ncurses-bin:i386 5.9-10
2013-02-28 06:48:19 status unpacked ncurses-bin:i386 5.9-10
2013-02-28 06:48:19 status unpacked ncurses-bin:i386 5.9-10
2013-02-28 06:48:19 install libpam-modules:i386 <none> 1.1.3-9
2013-02-28 06:48:19 status half-installed libpam-modules:i386 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam-modules:i386 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam-modules:i386 1.1.3-9
2013-02-28 06:48:19 install libpam-modules-bin:i386 <none> 1.1.3-9
2013-02-28 06:48:19 status half-installed libpam-modules-bin:i386 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam-modules-bin:i386 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam-modules-bin:i386 1.1.3-9
2013-02-28 06:48:19 install libpam-runtime:all <none> 1.1.3-9
2013-02-28 06:48:19 status half-installed libpam-runtime:all 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam-runtime:all 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam-runtime:all 1.1.3-9
2013-02-28 06:48:19 install libpam0g:i386 <none> 1.1.3-9
2013-02-28 06:48:19 status half-installed libpam0g:i386 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam0g:i386 1.1.3-9
2013-02-28 06:48:19 status unpacked libpam0g:i386 1.1.3-9
2013-02-28 06:48:19 upgrade perl-base:i386 5.14.2-18 5.14.2-18
2013-02-28 06:48:19 status half-configured perl-base:i386 5.14.2-18
2013-02-28 06:48:19 status unpacked perl-base:i386 5.14.2-18
2013-02-28 06:48:19 status half-installed perl-base:i386 5.14.2-18
2013-02-28 06:48:20 status half-installed perl-base:i386 5.14.2-18
2013-02-28 06:48:20 status unpacked perl-base:i386 5.14.2-18
2013-02-28 06:48:20 status unpacked perl-base:i386 5.14.2-18
2013-02-28 06:48:20 install sed:i386 <none> 4.2.1-10
2013-02-28 06:48:20 status half-installed sed:i386 4.2.1-10
2013-02-28 06:48:20 status unpacked sed:i386 4.2.1-10
2013-02-28 06:48:20 status unpacked sed:i386 4.2.1-10
2013-02-28 06:48:20 install sensible-utils:all <none> 0.0.7
2013-02-28 06:48:20 status half-installed sensible-utils:all 0.0.7
2013-02-28 06:48:20 status unpacked sensible-utils:all 0.0.7
2013-02-28 06:48:20 status unpacked sensible-utils:all 0.0.7
2013-02-28 06:48:20 install login:i386 <none> 1:4.1.5.1-1
2013-02-28 06:48:20 status half-installed login:i386 1:4.1.5.1-1
2013-02-28 06:48:20 status unpacked login:i386 1:4.1.5.1-1
2013-02-28 06:48:20 status unpacked login:i386 1:4.1.5.1-1
2013-02-28 06:48:20 install passwd:i386 <none> 1:4.1.5.1-1
2013-02-28 06:48:20 status half-installed passwd:i386 1:4.1.5.1-1
2013-02-28 06:48:21 status unpacked passwd:i386 1:4.1.5.1-1
2013-02-28 06:48:21 status unpacked passwd:i386 1:4.1.5.1-1
2013-02-28 06:48:21 install libslang2:i386 <none> 2.2.4-15
2013-02-28 06:48:21 status half-installed libslang2:i386 2.2.4-15
2013-02-28 06:48:21 status unpacked libslang2:i386 2.2.4-15
2013-02-28 06:48:21 status unpacked libslang2:i386 2.2.4-15
2013-02-28 06:48:21 install initscripts:i386 <none> 2.88dsf-41
2013-02-28 06:48:21 status half-installed initscripts:i386 2.88dsf-41
2013-02-28 06:48:21 status unpacked initscripts:i386 2.88dsf-41
2013-02-28 06:48:21 status unpacked initscripts:i386 2.88dsf-41
2013-02-28 06:48:21 install sysv-rc:all <none> 2.88dsf-41
2013-02-28 06:48:21 status half-installed sysv-rc:all 2.88dsf-41
2013-02-28 06:48:21 status unpacked sysv-rc:all 2.88dsf-41
2013-02-28 06:48:21 status unpacked sysv-rc:all 2.88dsf-41
2013-02-28 06:48:21 install sysvinit:i386 <none> 2.88dsf-41
2013-02-28 06:48:21 status half-installed sysvinit:i386 2.88dsf-41
2013-02-28 06:48:21 status unpacked sysvinit:i386 2.88dsf-41
2013-02-28 06:48:21 status unpacked sysvinit:i386 2.88dsf-41
